Specimen number,Sex,Breeding status,Age (years),DIAS,PALA,UPAL,PREW,BULL,BULW,BASI,SKUL,IORW,ZYPW,ZYAW,BASW,PAPW,FIOL,PZMW,INCW,ROSL,SKUH,CONW,SOCC,MANL,MANH,CONH,ANGL,Hindfoot length
9,f,repro,10,10.6,19.23,6.15,2.12,8.26,6.31,27.34,30.96,10.42,4,22.57,6.82,13.45,1.54,1.27,5.22,15.54,10.62,7.25,5.34,21.8,10.03,8.38,15.05,18.85
12,f,repro,4,12.18,21.71,6.07,2.15,8.55,6.23,29.8,34.51,10.11,4.41,23.83,10.1,14.52,1.53,1.37,5.7,16.31,11.4,7.83,5.86,24.13,11.77,9.03,16.31,22.3
18,f,repro,12,11.47,21.29,6.84,2.4,8.35,6.49,29.69,35.32,10.65,3.56,23.9,9.41,14.32,1.49,1.24,6.52,15.58,12.06,7.78,6,23.32,11.86,8.77,15.15,21.4
22,f,repro,10.5,13.23,21.49,5.26,1.75,8.69,6.71,30.3,34.35,10.46,3.9,23.92,7.27,13.41,1.43,1.4,5.79,16.8,11.78,7.45,5.17,23.95,10.94,8.56,16.44,21
24,f,repro,5,13.21,22.23,6.17,2.02,9.22,6.97,31.32,36.15,10.65,4.01,25.57,7.7,14.85,1.2,1.41,6.42,17.4,11.96,8.05,6.18,24.72,10.71,9.25,17.44,23.15
27,f,repro,10,12.23,20.87,5.61,1.92,8.59,6.6,29.07,33.58,9.83,3.7,22.89,6.65,13.44,1.16,0.96,5.25,16.78,11.01,7.35,5.47,23.01,10.23,8,14.01,21.6
32,f,repro,9,12.13,19.78,4.17,1.88,8.2,5.98,28.47,32.25,9.04,3.36,22.72,7.78,12.51,1.28,1.13,5.56,14.01,10.32,7.36,5.68,21.88,10.05,7.8,14.11,21.1
36,f,repro,5,11.24,19.55,5.87,2,8.41,5.96,27.39,31.37,9.97,3.89,22.94,7.2,13.88,1.28,1.18,5.64,15.34,10.52,7.39,5.49,22.31,9.81,7.64,14.91,19.7
41,f,repro,14,12.15,21.58,5.79,2.42,9.76,6.5,29.68,34.75,10.89,4.47,25.22,7.06,14.36,1.49,1.42,6.02,17.64,11.84,8.08,6.2,25.26,11.31,9.76,16.77,22.3
42,f,repro,10.75,13.34,22.03,5.55,1.94,9.47,7.3,30.89,35.6,10.31,4.01,24.88,8.15,14.62,1.25,1.11,6.23,17.12,11.68,8.1,5.83,25.06,10.49,8.22,15.83,22.42
3,m,repro,11,14.38,24.36,5.92,2.51,10.24,7.32,33.3,37.14,11.93,4.85,27.81,8.04,15.14,3.42,1.5,6.33,18.44,12.27,8.47,7.1,26.64,12.88,9.55,17.31,22.65
5,m,repro,9,13.72,23.51,5.81,2.22,9.28,6.93,32.17,35.21,11.3,4.72,25.32,7.82,14.82,1.94,1.42,6.4,17.48,12.65,7.36,6.32,25.8,11.53,9.9,16.68,21.85
10,m,repro,10,14.25,22.95,5.7,1.98,8.96,6.78,31.78,36.29,11.6,3.87,26.22,8.16,14.52,1.91,1.79,6.42,17.32,12.27,7.92,6.06,25.14,13.5,10.43,17.08,24.26
14,m,repro,4,11.69,21.54,6.6,2.12,8.93,6.7,29.98,34.12,10.92,4.23,26.35,9.36,14.74,1.82,1.68,6.4,15.49,11.8,7.48,6.72,23.59,12.03,9.81,17.3,23.35
21,m,repro,13,13.68,23.86,7.49,2.24,9.52,6.68,33.32,37.82,11.05,4.23,27.26,7.99,14.51,1.48,1.83,7.09,18.55,12.66,8.22,6.21,26.51,11.97,10.23,17.55,23.07
23,m,repro,11,12.85,22.91,5.8,2,9.07,6.93,31.06,34.9,11.18,4.11,26.28,7.84,14.27,1.18,1.39,6.89,16.92,12.44,7.5,6.75,25.16,11.92,10.14,17.18,21.8
26,m,repro,7,13.94,23.25,6.08,2.04,9.55,7.1,32.02,35.63,11.95,4.47,27.4,7.55,14.79,2.07,1.67,6.8,17.14,12.66,8.04,6.25,25.59,12.78,10.93,17.39,23.37
29,m,repro,16,15.96,25.72,5.67,2.14,10.51,7.5,34.82,38.39,12.89,5.27,29.21,7.71,16.44,1.89,1.81,7.68,19.21,13.61,7.83,5.81,28.82,15.8,10.43,19.37,22.5
34,m,repro,4,13.54,22.11,5.40,1.96,8.86,6.07,31.02,35.17,10.91,4.43,26.07,8.08,14.45,0.98,1.44,6.45,16.31,11.62,7.24,7.27,24.77,11.92,9.96,17.24,21.5
43,m,repro,10,15.83,25.31,6.33,2.06,9.45,7.02,34.93,39.05,13.23,4.1,28.14,8.02,15.68,1.06,2.29,7.93,18.59,14.3,8.06,7.35,27.55,13.34,10.43,19.04,24.7
6,f,non-repro,2.5,11.2,19.6,5.9,2.5,8.17,5.8,27.53,31.7,9.33,3.85,21.19,7.76,14.97,1.45,1.31,4.73,14.75,9.93,7.82,5.35,21.93,10.01,8.87,14.4,20.14
7,f,non-repro,2.5,11.1,19.93,5.95,2.25,7.49,5.71,27.24,31.94,10.23,3.6,21.32,7.4,13,1.86,1.49,5.31,15.78,10.64,7.36,5.75,21.44,10.3,8.39,13.46,19.05
8,f,non-repro,3,12.43,21.18,5.94,2.17,8.46,5.99,28.83,33.29,9.43,3.5,22.9,7.52,14.81,1.25,1.48,5.34,15.69,10.77,7.62,5.58,22.6,11.46,8.75,16.27,22.4
13,f,non-repro,3.5,13.05,21.77,6.18,2.06,9.13,7.02,29.75,33.91,10.41,4.26,23.67,8.93,15.23,2.18,1.1,5.73,15.12,11.65,8.02,5.31,23.9,11.86,9.4,16.71,21.21
16,f,non-repro,2.5,11.92,21.13,5.95,1.93,8.71,6.26,29.12,33.73,10.02,4.06,23.85,10.7,15.84,1.56,1.28,5.8,15.85,10.81,7.78,5.01,24.21,10.78,9.38,16.79,21.13
