Measurement,Laboratory Male (Mean ± SD),Laboratory Female (Mean ± SD),Wild-derived Male (Mean ± SD),Wild-derived Female (Mean ± SD)
Number,32,33,65,25
Body mass (g),149.8 ± 20.4,133.2 ± 22.9,121.6 ± 17.6,107.4 ± 10.4
Food consumption (g),7.7 ± 1.2,7.2 ± 1.9,6.1 ± 1.3,4.8 ± 0.3
Fat free mass (g),111.4 ± 14.8,111.8 ± 16.9,88.8 ± 12.8,88.7 ± 9.7
Fat free mass (%),74.6 ± 5.6,84.3 ± 5.0,73.3 ± 4.6,82.6 ± 4.3
Body water (g),80.4 ± 11.2,80.7 ± 12.8,63.2 ± 7.4,63.3 ± 7.4
Body water (%),53.8 ± 4.1,60.8 ± 3.6,52.1 ± 3.3,58.8 ± 3.3
Body fat (g),38.4 ± 9.1,22.1 ± 9.0,32.8 ± 8.2,18.7 ± 5.3
Body fat (%),25.4 ± 5.6,16.2 ± 4.3,26.7 ± 4.6,17.4 ± 4.3
Body length (mm),167.8 ± 5.3,166.3 ± 5.1,165.3 ± 6.5,164.6 ± 5.3
Ear length (mm),21.3 ± 1.0,21.4 ± 0.9,21.6 ± 0.9,22.5 ± 0.7
