Rattus norvegicus,,
,Female (n = 62),Male (n = 58)
Body weight,260.6 ± 76.1,268.2 ± 98.8
General length,396.5 ± 37.8,400.5 ± 52.0
Tail length,190.2 ± 18.8,192.7 ± 26.8
Body length,206.4 ± 20.1,207.8 ± 25.9
Right ear length,18.7 ± 1.7,19.0 ± 1.7
Right hind leg length,38.7 ± 2.9,39.8 ± 4.2
General cranial length,46.3 ± 3.7,47.1 ± 4.3
Condylobasal length,44.8 ± 3.6,45.5 ± 4.4
Henselion-basion length,39.3 ± 3.5,38.9 ± 3.8
Henselion-palpation length,22.6 ± 1.9,22.2 ± 2.6
Length of upper incisor,7.5 ± 1.6,7.5 ± 1.6
"Width of upper incisors, basal",4.8 ± 0.6,4.8 ± 0.6
"Width of upper incisors, apex",3.2 ± 0.5,3.3 ± 0.4
Upper incisor to alveolus molar tooth 1,14.4 ± 1.8,14.4 ± 2.0
Length of diastema,13.3 ± 1.5,13.4 ± 1.5
Nasal bone length,17.2 ± 1.8,17.2 ± 2.0
Breath of nasal bones,5.1 ± 0.5,5.2 ± 0.6
Frontal bone length,14.6 ± 1.1,14.7 ± 1.5
Frontal bone width,10.8 ± 0.6,10.9 ± 0.6
Parietal bone length,13.0 ± 0.9,13.1 ± 1.2
Breath of brain cage,16.1 ± 2.0,16.6 ± 2.3
Interparietal bone length,6.6 ± 0.9,6.4 ± 0.6
Interparietal bone width,11.4 ± 1.0,11.6 ± 1.0
Occipital bone length,6.0 ± 0.7,6.0 ± 0.9
General cranial height,16.6 ± 1.6,16.6 ± 1.5
Rostrum height,13.8 ± 1.1,13.7 ± 1.4
Rostrum breathe,9.1 ± 0.9,9.0 ± 1.1
Smallest interorbital breadth,6.7 ± 0.4,6.9 ± 0.6
Breath of inferior ramus of the zygomatic process of maxillary,1.8 ± 0.3,1.9 ± 0.3
Breath of base zygomatic process of squamosal,2.9 ± 0.4,3.0 ± 0.4
Breadth of zygomatic plate,5.2 ± 0.5,5.0 ± 0.6
Zygomatic breath,22.4 ± 2.0,22.3 ± 2.5
Length of palatal foramen,7.9 ± 0.7,7.8 ± 0.9
Smallest palatal breadth,4.8 ± 0.6,4.6 ± 0.5
Upper cheek-teeth alveoli,7.3 ± 0.4,7.4 ± 0.4
Breadth of upper dental arch,9.4 ± 0.7,9.4 ± 0.7
Breadth of molar tooth 1,2.8 ± 1.0,2.7 ± 1.0
Tympanic bulla length,8.1 ± 0.5,8.1 ± 0.7
Tympanic bulla width,6.1 ± 1.1,6.0 ± 0.9
Foramen magnum width,6.8 ± 0.4,6.9 ± 0.4
